temperatura,vendas
30.5,527
27.3,436
31.2,530
35.6,571
26.8,445
26.8,453
35.9,586
31.8,494
25.7,462
30.7,533
25.7,432
25.7,453
29.2,480
18.4,306
19.4,341
25.2,404
22.9,406
29.6,479
23.5,369
20.9,291
35.3,577
26.9,459
28.3,501
20.9,328
25.3,449
28.6,468
22.2,382
29.9,498
25.0,424
26.5,407
25.0,439
37.3,625
27.9,488
22.7,400
32.1,527
21.9,349
29.0,494
18.2,323
21.4,370
29.0,493
31.7,524
28.9,473
27.4,437
26.5,447
20.6,388
24.4,393
25.7,455
33.3,563
29.7,461
19.2,349
29.6,494
26.1,439
24.6,459
31.1,534
33.2,528
32.7,552
23.8,388
26.5,429
29.7,498
32.9,566
25.6,404
27.1,445
22.5,410
22.0,361
32.1,531
34.8,565
27.6,490
33.0,551
29.8,491
24.8,404
29.8,539
35.7,583
27.8,462
35.8,597
14.9,287
32.1,503
28.4,472
26.5,426
28.5,465
18.1,346
26.9,476
29.8,508
35.4,552
25.4,434
24.0,397
25.5,452
32.6,527
29.6,478
25.4,437
30.6,532
28.5,498
32.8,568
24.5,443
26.4,478
26.0,444
20.7,351
29.5,475
29.3,513
28.0,466
26.8,434
20.9,374
25.9,409
26.3,422
24.0,414
27.2,475
30.0,493
37.4,606
28.9,498
29.3,505
27.6,422
18.4,355
27.9,461
28.3,459
40.3,645
27.0,428
29.5,543
27.8,441
22.2,352
33.7,550
31.8,498
32.0,531
23.5,434
35.0,578
21.0,371
30.9,508
39.0,613
23.0,389
25.2,448
28.5,504
25.5,433
20.2,371
28.3,459
22.7,378
30.4,473
23.4,423
35.7,574
24.1,384
26.4,455
32.1,557
21.8,370
29.1,451
34.5,561
20.0,354
28.9,495
29.3,505
31.9,530
21.8,372
21.4,384
30.6,482
29.5,472
29.3,474
29.7,487
24.6,391
29.2,506
29.5,467
24.4,362
37.3,629
30.4,515
22.0,379
31.3,528
23.1,399
31.9,552
33.8,541
23.9,443
32.8,561
30.1,488
32.1,516
37.5,615
26.8,429
24.2,409
23.6,430
23.9,412
27.6,506
29.7,480
29.4,499
32.1,521
28.1,466
35.3,589
26.7,435
41.6,656
31.1,507
23.7,394
22.6,369
30.4,535
26.9,447
31.6,540
30.4,520
27.6,485
23.8,379
20.4,349
25.8,450
32.3,521
29.1,515
21.8,352
28.9,499
29.9,489
23.6,424
28.8,486
28.3,457
22.3,400
29.8,462
30.8,505
33.4,542
33.3,557
21.1,312
23.3,404
30.6,516
30.6,492
30.6,502
47.3,759
30.9,531
33.7,511
32.8,540
31.3,528
26.4,458
31.8,522
24.1,423
26.8,450
25.6,456
28.4,459
39.6,630
18.7,339
31.4,534
19.9,359
25.6,426
33.4,543
28.3,474
22.6,367
24.4,400
31.4,550
24.3,411
29.1,475
28.2,461
24.7,426
38.7,672
31.2,540
17.9,291
28.9,509
24.7,403
32.3,520
24.0,401
27.4,437
30.5,533
32.3,523
22.0,338
26.3,427
25.6,438
24.7,386
36.8,607
30.0,482
21.7,397
32.6,547
38.6,630
33.2,516
20.4,330
25.6,422
34.3,560
24.5,447
30.2,509
31.9,520
23.4,429
27.7,463
11.8,235
22.9,424
26.7,465
21.8,385
36.2,604
20.8,361
25.8,437
28.7,448
35.2,563
20.8,361
33.8,566
28.1,462
23.1,444
30.3,520
29.0,489
25.0,396
28.3,474
26.1,451
28.6,476
31.3,516
35.9,585
21.8,363
38.7,604
18.2,367
27.2,438
30.9,504
29.4,496
24.9,382
27.0,485
25.5,456
25.1,395
32.2,527
29.8,515
24.5,417
32.5,557
29.5,523
32.1,514
31.1,526
23.9,383
25.2,418
31.7,527
31.1,518
27.9,451
28.6,490
34.4,536
25.0,408
30.7,532
27.0,438
26.9,459
33.5,585
32.1,531
32.1,557
34.5,540
28.1,459
31.4,525
26.4,426
29.6,485
27.3,463
28.5,480
31.0,508
23.9,371
38.5,613
23.0,366
21.9,377
33.8,556
32.0,526
31.1,497
31.1,483
27.9,497
23.5,403
28.4,469
24.6,417
32.9,516
27.3,484
23.9,393
26.4,443
30.1,510
25.2,442
23.9,407
29.2,467
29.2,500
25.5,448
25.6,458
29.2,498
20.8,403
21.0,367
24.4,420
26.9,478
29.6,525
35.4,608
32.3,532
27.2,473
27.9,489
23.0,396
27.9,451
26.6,428
29.6,501
23.9,425
30.6,499
35.7,569
27.5,451
30.0,503
31.5,537
26.0,447
29.1,486
28.1,498
28.5,531
24.1,412
28.1,503
30.5,493
35.3,601
32.8,525
38.8,624
24.2,411
32.4,496
28.9,447
38.9,617
24.0,435
23.8,402
25.0,443
17.4,277
25.4,437
24.2,421
28.8,462
29.7,532
37.4,585
32.8,536
25.1,475
23.5,383
30.5,494
21.4,374
37.2,580
33.9,568
25.7,399
19.4,341
34.8,600
27.4,474
34.2,562
20.0,343
25.0,423
28.0,464
28.2,481
25.7,449
31.1,519
22.7,403
27.3,469
28.6,454
30.6,461
31.6,526
22.4,376
20.3,358
34.4,599
29.7,489
24.3,420
35.8,569
28.6,488
33.9,542
28.3,495
38.3,627
36.8,598
26.8,418
32.9,515
31.2,530
34.8,595
23.2,402
31.4,516
33.3,550
19.2,335
22.1,367
17.8,290
26.7,422
31.6,510
35.5,584
28.4,448
36.1,590
21.1,351
19.5,308
27.7,452
29.9,503
27.8,454
17.7,344
27.6,475
21.5,393
31.3,582
29.8,486
23.3,370
25.4,415
22.7,391
27.7,473
32.8,545
23.1,387
30.5,516
25.3,453
24.0,395
27.5,443
22.8,431
25.2,405
22.0,397
37.8,613
28.2,502
24.5,411
29.1,493
27.4,435
26.9,439
31.1,520
31.8,513
25.3,404
25.1,469
26.6,448
16.5,320
20.4,394
34.8,562
36.2,591
26.8,452
30.9,522
29.6,515
43.4,720
33.6,568
27.4,453
23.2,398
20.0,324
29.0,499
24.2,459
20.9,368
24.8,449
22.6,405
36.4,585
32.4,518
28.0,446
35.4,583
28.4,486
23.7,417
35.6,561
30.7,535
22.8,381
27.0,458
23.6,391
21.1,342
32.6,514
37.5,627
21.0,364
30.8,490
24.7,408
25.6,461
25.0,443
23.7,417
28.2,515
23.8,437
29.4,491
27.7,455
26.8,503
23.5,426
25.1,415
31.8,500
30.5,462
23.1,371
28.5,467
31.8,553
19.7,364
30.7,516
24.7,432
30.9,497
24.2,386
19.0,330
19.9,367
28.2,474
29.3,503
23.5,402
31.2,491
19.7,351
27.7,457
21.9,400
24.7,389
28.2,504
23.7,380
26.1,435
33.0,515
25.1,447
32.2,510
22.4,374
30.6,530
35.2,567
15.6,283
24.0,421
30.9,520
27.0,459
29.9,486
25.0,416
28.4,485
27.2,452
33.8,562
29.3,450
29.7,494
25.9,449
25.6,446
25.8,433
30.0,505
25.9,426
29.4,520
38.4,618
32.4,560
26.4,443
34.0,536
26.0,434
17.8,297
23.0,388
18.6,309
26.2,439
28.1,491
36.4,624
29.6,482
26.9,468
32.1,562
16.9,280
29.2,453
31.9,500
20.6,358
33.7,512
29.7,518
25.9,394
31.2,517
39.4,646
28.9,497
29.2,511
25.7,468
23.8,414
32.2,520
23.7,409
28.4,483
25.6,438
30.4,496
29.7,519
33.2,540
25.4,429
26.7,432
23.1,415
25.8,480
29.9,522
31.8,505
23.4,384
32.3,504
34.8,577
30.1,510
37.4,597
24.1,400
21.8,338
19.1,334
35.5,568
31.3,505
27.7,511
29.4,504
22.4,385
40.2,657
28.6,469
28.5,497
31.6,518
30.4,484
29.1,519
24.0,394
30.4,546
37.4,629
34.7,584
36.0,570
25.4,461
23.1,443
27.4,440
28.3,472
33.5,534
19.5,336
35.6,581
27.2,484
25.9,409
22.9,408
19.7,361
32.1,513
28.4,475
21.6,361
21.5,375
26.3,481
36.3,577
26.7,456
20.5,338
26.8,466
26.6,455
14.5,279
27.7,455
26.8,429
31.5,490
37.2,608
33.6,565
26.7,457
22.5,401
40.9,652
28.3,472
28.1,424
27.9,465
29.0,519
27.3,462
25.1,467
25.3,437
27.8,487
25.3,443
24.4,433
28.5,484
26.7,467
35.5,572
14.7,298
33.5,583
34.2,571
17.6,307
26.3,420
26.1,449
21.0,364
24.1,398
22.4,367
36.8,580
32.7,541
34.4,575
31.6,534
22.4,449
25.4,445
30.4,528
21.9,378
31.6,495
26.8,443
26.1,477
31.6,506
30.2,504
26.2,443
33.8,587
22.6,399
31.1,528
